Proxima Centauri,GJ 551
Rigil Kentaurus,GJ 559A
Toliman,GJ 559B
Barnard's Star,GJ 699
Wolf 359,GJ 406
Lalande 21185,GJ 411
Sirius A,GJ 244A
Sirius B,GJ 244B
Ross 154,GJ 729
Ross 248,GJ 905
Lacaille 9352,GJ 887
Ross 128,GJ 447
Luyten 789-6 A,GJ 866A
Luyten 789-6 B,GJ 866B
Luyten 789-6 C,GJ 866C
Procyon A,GJ 280A
Procyon B,GJ 280B
Struve 2398 A,GJ 725A
Struve 2398 B,GJ 725B
Struve 2398 C,GJ 725C
Groombridge 34 A,GJ 15A
Groombridge 34 B,GJ 15B
Giclas 51-15,GJ 1111
Luyten's Star,GJ 273
Kapteyn's Star,GJ 191
Kruger 60 A,GJ 860A
Kruger 60 B,GJ 860B
Ross 614 A,GJ 234A
Ross 614 B,GJ 234B
Wolf 1061,GJ 628
van Maanen's Star,GJ 35
Wolf 28,GJ 35
Wolf 424 A,GJ 473A
Wolf 424 B,GJ 473B
Lalande 21258 A,GJ 412A
Lalande 21258 B,GJ 412B
Groombridge 1618,GJ 380
Giclas 208-044 A,GJ 1245A
Giclas 208-044 B,GJ 1245C
Giclas 208-045,GJ 1245
Ross 780,GJ 876A
Keid,GJ 166A
Altair,GJ 768
Wolf 498,GJ 526
Lalande 25372,GJ 526
Stein 2051 A,GJ 169.1A
Stein 2051 B,GJ 169.1B
Wolf 358,GJ 402
Wolf 1453,GJ 205
Wolf 294,GJ 251
Ross 47,GJ 213
Luyten 674-15,GJ 300
Ross 652,GJ 752A
Wolf 1055,GJ 752A
van Biesbroeck 10,GJ 752B
Lalande 27173 A,GJ 570A
Lalande 27173 B,GJ 570B
Lalande 27173 C,GJ 570C
Lalande 27173 D,GJ 570D
Achird A,GJ 34A
Achird B,GJ 34B
Lalande 46650,GJ 908
Wolf 1481,GJ 555
Ross 882,GJ 285
Luyten 100-115,GJ 1128
Lalande 18115,GJ 338
Wolf 562,GJ 581
Wolf 630 A,GJ 644A
Wolf 630 B,GJ 644B
Wolf 630 C,GJ 644D
Ross 986 A,GJ 268A
Ross 986 B,GJ 268B
van Biesbroeck 8,GJ 644D
Luyten 1190-34,GJ 1156
Ross 104,GJ 408
Ross 775 A,GJ 829A
Ross 775 B,GJ 829B
Luyten 119-44,GJ 4285
Ross 671,GJ 880
Ross 619,GJ 299
Luyten 97-12,GJ 293
Luyten 471-42,GJ 3737
Wolf 25,GJ 33
Ross 556,GJ 109
Luyten 1813-21,GJ 3378
Ross 490,GJ 514
Luyten 399-68,GJ 1093
Fomalhaut,GJ 881
Wolf 718,GJ 673
Vega,GJ 721
Luyten 991-14,GJ 701
Luyten 362-81,GJ 915
Wolf 922 A,GJ 831A
Wolf 922 B,GJ 831B
Groombridge 1830,GJ 451
